Time,Message,Id,Approach 1,Approach 2
2017-06-27T07:35:22+0000,LOL,760070434158035_817769098388168,0.4215,Neutral
2017-05-13T13:47:07+0000,I love Baddiewinkle Lauren Ellithorpe Caitlin Ovaitt Taylør Lusk,760070434158035_792461624252249,0.6369,Positive
2017-05-30T20:04:45+0000,Lisette Azulay Denise Flasz Azulay Nicole Matz Naomi Myerson para uds Online shoppers!,760070434158035_802226439942434,0.0,Neutral
2017-05-10T20:00:08+0000,This video haha Zach Benedict Erik Van Woerkom,760070434158035_790454494452962,0.4588,Neutral
2017-04-25T00:50:29+0000,Sara Jane Moffei Stephanie DiBartolomeo,760070434158035_781167135381698,0.0,Neutral
2017-09-25T08:40:27+0000,Baheerathy Rajendran,760070434158035_869833863181691,0.0,Neutral
2017-03-24T18:42:40+0000,Mara Bourque,760070434158035_761293680702377,0.0,Neutral
2017-03-24T17:09:22+0000,Taylor Hill lmfao XD,760070434158035_761238450707900,0.8415,Neutral
2017-05-10T09:43:38+0000,Omar Perez tu gf?,760070434158035_790085794489832,0.0,Neutral
2017-03-24T19:06:39+0000,shes me Andrea Jade,760070434158035_761309857367426,0.0,Neutral
2017-03-25T00:46:36+0000,Charlotte Parker you haha!,760070434158035_761475464017532,0.5093,Neutral
2017-03-24T19:06:47+0000,im her Nyjha Davis,760070434158035_761309897367422,0.0,Neutral
2017-03-25T20:02:42+0000,I love baddiewinkle,760070434158035_761919770639768,0.6369,Positive
2017-03-24T23:43:04+0000,Kate Louttit !!!,760070434158035_761450847353327,0.0,Neutral
2017-04-02T21:02:19+0000,Reefer L Harris look,760070434158035_766666243498454,0.0,Neutral
2017-04-02T20:55:17+0000,Justina Nieronow Harris Kenneth Harris Kenneth Harris,760070434158035_766664500165295,0.0,Neutral
2017-03-25T00:27:27+0000,Giselle Sanchez Amra Lolic,760070434158035_761464977351914,0.0,Neutral
2017-04-30T03:47:00+0000,Brie Singh,760070434158035_784226915075720,0.0,Neutral
2017-03-24T22:46:43+0000,Quito Clinebell,760070434158035_761426997355712,0.0,Neutral
2017-04-19T16:43:53+0000,Wes Flear,760070434158035_777663545732057,0.0,Neutral
2017-03-22T23:39:09+0000,Ma Guadalupe Perez-Diaz.,760070434158035_760228407475571,0.0,Neutral
2017-04-12T22:53:13+0000,Gina Lynne Gonzalez,760070434158035_773022696196142,0.0,Neutral
2017-03-25T16:14:52+0000,Brooke Raylen Alsip,760070434158035_761830240648721,0.0,Neutral
2017-03-23T12:37:47+0000,Ivonne,760070434158035_760522014112877,0.0,Neutral
2017-10-22T04:14:13+0000,Ashley Nicole,760070434158035_884705215027889,0.0,Neutral
2017-05-24T12:43:31+0000,Joy M. Gutierrez,760070434158035_798539520311126,0.5859,Positive
2017-04-06T14:04:04+0000,Debi Lezanic Nagy,760070434158035_768939733271105,0.0,Neutral
2017-03-24T19:12:53+0000,Andrew Blair,760070434158035_761312280700517,0.0,Neutral
2017-04-02T20:57:13+0000,Kenneth Harris,760070434158035_766664863498592,0.0,Neutral
2017-03-24T23:48:58+0000,Jeannie Smith,760070434158035_761454610686284,0.0,Neutral
2017-04-02T00:13:50+0000,Katrina Ocampo,760070434158035_766184216879990,0.0,Neutral
2017-03-24T03:51:14+0000,Elom C Kellers,760070434158035_760929814072097,0.0,Neutral
2017-04-22T14:26:06+0000,Lindsey Doyle,760070434158035_779811045517307,0.0,Neutral
2017-06-05T21:49:28+0000,Megan Steichen,760070434158035_805342916297453,0.0,Neutral
2017-04-23T08:21:20+0000,Jewel Schultz,760070434158035_780240165474395,0.3612,Neutral
2017-03-25T12:33:11+0000,Nicole Schuchhardt,760070434158035_761745350657210,0.0,Neutral
2017-03-25T17:23:07+0000,Elle Roper,760070434158035_761857303979348,0.0,Neutral
2017-06-06T13:36:06+0000,joinhoney.com/ref/zi7kf4 If anyone new wants to use my code to sign up with that'd be sweet :),760070434158035_805691822929229,0.7184,Positive
2017-03-25T02:41:51+0000,Clare Goerdt,760070434158035_761530737345338,0.0,Neutral
2017-03-24T02:54:48+0000,Aaliyah Webster Aquedia Peters Allysia Cox,760070434158035_760909127407499,0.0,Neutral
2017-04-09T03:07:28+0000,https://www.joinhoney.com/ref/rr290g,760070434158035_770678029763942,0.0,Neutral
2017-07-05T04:22:24+0000,Mary Saydein,760070434158035_823426137822464,0.0,Neutral
2017-03-25T22:08:27+0000,Chance Taulbee,760070434158035_761965317301880,0.25,Neutral
2017-03-25T02:50:52+0000,Dylan LawtonKristina AnnmarieÅñgié Øsø Døbbŷ,760070434158035_761533014011777,0.0,Neutral
2017-03-22T21:52:22+0000,<3 <3 <3 <3 <3 <3,760070434158035_760176810814064,0.9468,Neutral
